mal_id,title,type,source,episodes,aired_from,duration,rating,score,scored_by,rank,popularity,members,favorites,season,studios,producers,licensors,genres
1,Cowboy Bebop,TV,Original,26.0,1998-04-03,24 min per ep,R - 17+ (violence & profanity),8.75,1059628.0,49.0,41,2051751,89485,spring,Sunrise,Bandai Visual|Victor Entertainment|Audio Planning U,Funimation,Action|Award Winning|Sci-Fi
5,Cowboy Bebop: Tengoku no Tobira,Movie,Original,1.0,2001-09-01,1 hr 55 min,R - 17+ (violence & profanity),8.38,231900.0,240.0,658,411149,1782,,Bones,Sunrise|Bandai Visual,Sony Pictures Entertainment|Funimation,Action|Sci-Fi
6,Trigun,TV,Manga,26.0,1998-04-01,24 min per ep,PG-13 - Teens 13 or older,8.22,400979.0,420.0,265,832801,17610,spring,Madhouse,Victor Entertainment|Arts Pro,Funimation,Action|Adventure|Sci-Fi
7,Witch Hunter Robin,TV,Original,26.0,2002-07-03,25 min per ep,PG-13 - Teens 13 or older,7.25,46538.0,3529.0,1989,129274,707,summer,Sunrise,Bandai Visual|Dentsu|Victor Entertainment,Funimation|Bandai Entertainment,Action|Drama|Mystery|Supernatural
8,Bouken Ou Beet,TV,Manga,52.0,2004-09-30,23 min per ep,PG - Children,7.01,7229.0,4900.0,5891,16881,18,fall,Toei Animation,TV Tokyo|Dentsu,Illumitoon Entertainment,Action|Adventure|Fantasy
15,Eyeshield 21,TV,Manga,145.0,2005-04-06,23 min per ep,PG-13 - Teens 13 or older,7.92,93613.0,872.0,1419,195854,2124,spring,Gallop,TV Tokyo|Nihon Ad Systems|TV Tokyo Music|Shueisha,VIZ Media|Sentai Filmworks,Sports
16,Hachimitsu to Clover,TV,Manga,24.0,2005-04-15,23 min per ep,PG-13 - Teens 13 or older,7.98,87205.0,774.0,984,285204,4207,spring,J.C.Staff,Dentsu|Genco|Fuji TV|Asmik Ace|Shueisha,VIZ Media|Discotek Media,Comedy|Drama|Romance
17,Hungry Heart: Wild Striker,TV,Manga,52.0,2002-09-11,23 min per ep,PG-13 - Teens 13 or older,7.59,14325.0,1812.0,4895,26976,243,fall,Nippon Animation,Inconnu,Inconnu,Sports
18,Initial D Fourth Stage,TV,Manga,24.0,2004-04-17,27 min per ep,PG-13 - Teens 13 or older,8.18,119469.0,477.0,1300,214740,1434,spring,A.C.G.T.,OB Planning,Funimation,Action|Drama
19,Monster,TV,Manga,74.0,2004-04-07,24 min per ep,R+ - Mild Nudity,8.89,509857.0,26.0,117,1323745,61859,spring,Madhouse,VAP|Nippon Television Network|Arts Pro,VIZ Media|Discotek Media,Drama|Mystery|Suspense
20,Naruto,TV,Manga,220.0,2002-10-03,23 min per ep,PG-13 - Teens 13 or older,8.02,2137881.0,721.0,9,3109995,86297,fall,Studio Pierrot,TV Tokyo|Aniplex,VIZ Media,Action|Adventure|Fantasy
21,One Piece,TV,Manga,,1999-10-20,24 min,PG-13 - Teens 13 or older,8.73,1525171.0,54.0,17,2671030,251194,fall,Toei Animation,Fuji TV|TAP,Funimation|4Kids Entertainment,Action|Adventure|Fantasy
22,Tennis no Oujisama,TV,Manga,178.0,2001-10-10,22 min per ep,PG-13 - Teens 13 or older,7.85,88803.0,1045.0,1407,197616,3073,fall,Trans Arts,Production I.G|TV Tokyo|Nihon Ad Systems,Funimation|VIZ Media,Sports
23,Ring ni Kakero 1,TV,Manga,12.0,2004-10-07,23 min per ep,PG - Children,6.6,1901.0,7425.0,9098,5702,3,fall,Toei Animation,Inconnu,Inconnu,Sports
24,School Rumble,TV,Manga,26.0,2004-10-05,23 min per ep,PG-13 - Teens 13 or older,7.89,154914.0,960.0,803,344854,5406,fall,Studio Comet,TV Tokyo|Sotsu|Marvelous Entertainment|Starchild Records|Media Factory|DAX Production,Funimation,Comedy|Romance
25,Sunabouzu,TV,Manga,24.0,2004-10-06,24 min per ep,R - 17+ (violence & profanity),7.37,58148.0,2803.0,1756,151722,880,fall,Gonzo,GDH|Pony Canyon|CBC Television|Omnibus Promotion|RKB Mainichi Broadcasting Corporation|Hokkaido Broadcasting,Funimation,Action|Adventure|Comedy|Sci-Fi|Ecchi
26,Texhnolyze,TV,Original,22.0,2003-04-17,23 min per ep,R+ - Mild Nudity,7.77,63881.0,1253.0,971,289148,5690,spring,Madhouse,Group TAC|Rondo Robe|Fuji TV|Pioneer LDC|Rakuonsha|Geneon Entertainment USA,Funimation,Avant Garde|Drama|Mystery|Sci-Fi|Suspense
27,Trinity Blood,TV,Light novel,24.0,2005-04-29,24 min per ep,R - 17+ (violence & profanity),7.29,84134.0,3273.0,1393,199954,1419,spring,Gonzo,Inconnu,Funimation,Action|Fantasy|Sci-Fi
28,Yakitate!! Japan,TV,Manga,69.0,2004-10-12,24 min per ep,PG-13 - Teens 13 or older,7.91,43311.0,914.0,2310,105212,950,fall,Sunrise,TV Tokyo|Aniplex|d-rights|Tohokushinsha Film Corporation|Atelier Musa,Nozomi Entertainment,Comedy|Gourmet
29,Zipang,TV,Manga,26.0,2004-10-08,24 min per ep,PG-13 - Teens 13 or older,7.54,8657.0,2039.0,5020,25405,207,fall,Studio Deen,Marvelous Entertainment|Animax|Pony Canyon|TBS,Geneon Entertainment USA,Action|Drama|Sci-Fi
30,Shinseiki Evangelion,TV,Original,26.0,1995-10-04,24 min per ep,PG-13 - Teens 13 or older,8.37,1211541.0,258.0,45,2023358,117545,fall,Gainax|Tatsunoko Production,TV Tokyo|Kadokawa Shoten|Nihon Ad Systems|Audio Tanaka,ADV Films|GKIDS,Avant Garde|Award Winning|Drama|Sci-Fi|Suspense
31,Shinseiki Evangelion Movie: Shi to Shinsei,Movie,Original,1.0,1997-03-15,1 hr 44 min,R - 17+ (violence & profanity),7.5,154795.0,2217.0,1001,280199,811,,Gainax|Production I.G|Tatsunoko Production,TV Tokyo|Toei Animation|Kadokawa Shoten|Movic|Sega|TV Tokyo Music|Audio Tanaka,GKIDS|Manga Entertainment,Drama|Sci-Fi|Suspense
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,Original,1.0,1997-07-19,1 hr 26 min,R+ - Mild Nudity,8.57,694977.0,126.0,179,1040019,32384,,Gainax|Production I.G,TV Tokyo|Toei Animation|Starchild Records|Kadokawa Shoten|Movic|Sega|TV Tokyo Music|King Records|Audio Tanaka,GKIDS|Manga Entertainment,Avant Garde|Drama|Sci-Fi|Suspense
33,Kenpuu Denki Berserk,TV,Manga,25.0,1997-10-08,23 min per ep,R+ - Mild Nudity,8.61,412257.0,110.0,304,764466,31578,fall,OLM,VAP|Hakusensha|Nippon Television Network,Media Blasters|Discotek Media,Action|Adventure|Drama|Fantasy|Horror
43,Koukaku Kidoutai,Movie,Manga,1.0,1995-11-18,1 hr 22 min,R+ - Mild Nudity,8.27,361524.0,352.0,338,702888,14327,,Production I.G,Bandai Visual|Kodansha|Aube,Manga Entertainment,Award Winning|Mystery|Sci-Fi|Suspense
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,Manga,4.0,1999-02-20,29 min per ep,R - 17+ (violence & profanity),8.69,144493.0,73.0,954,292536,6457,,Studio Deen,Aniplex,ADV Films|Aniplex of America,Action|Drama|Romance
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,Manga,94.0,1996-01-10,25 min per ep,PG-13 - Teens 13 or older,8.28,248169.0,347.0,485,524698,10405,winter,Gallop|Studio Deen,Aniplex|SME Visual Works|Fuji TV,Media Blasters|Aniplex of America,Action|Comedy|Romance
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,Manga,1.0,1997-12-20,1 hr 30 min,R - 17+ (violence & profanity),7.56,28781.0,1938.0,3390,55481,97,,Gallop,Fuji TV|Sony Music Entertainment,ADV Films|Aniplex of America,Drama
47,Akira,Movie,Manga,1.0,1988-07-16,2 hr 4 min,R+ - Mild Nudity,8.16,562849.0,497.0,208,953326,14929,,Tokyo Movie Shinsha,Mainichi Broadcasting System|Kodansha|Pioneer LDC|Bandai|TOHO|Sumitomo|Hakuhodo,Funimation|Bandai Entertainment|Geneon Entertainment USA|Bandai Visual USA|Streamline Pictures,Action|Horror|Sci-Fi
48,.hack//Sign,TV,Original,26.0,2002-04-04,24 min per ep,PG-13 - Teens 13 or older,6.96,87920.0,5140.0,1427,194626,1498,spring,Bee Train,Bandai Visual|Yomiko Advertising|Bandai|CyberConnect2,Funimation|Bandai Entertainment,Adventure|Fantasy|Mystery
49,Aa! Megami-sama!,OVA,Manga,5.0,1993-02-21,30 min per ep,PG-13 - Teens 13 or older,7.3,28521.0,3168.0,3289,58608,265,,AIC,Bandai Visual|KSS|Pony Canyon|TBS|Kodansha|Half H.P Studio|Nichion,AnimEigo,Comedy|Romance|Supernatural
